device,storage,scenario,implementation,scheduler_threads,elapsed_time(ms)
omen,dict,rw,central,21,60.0
omen,dict,rw,central,22,59.0
omen,dict,rw,central,23,60.0
omen,dict,rw,central,24,60.0
omen,dict,rw,central,25,61.0
omen,dict,rw,central,26,61.0
omen,dict,rw,central,27,62.0
omen,dict,rw,central,28,62.0
omen,dict,rw,central,29,64.0
omen,dict,rw,central,3,58.0
omen,dict,rw,central,30,62.0
omen,dict,rw,central,31,61.0
omen,dict,rw,central,32,59.0
omen,dict,rw,central,33,61.0
omen,dict,rw,central,34,59.0
omen,dict,rw,central,35,60.0
omen,dict,rw,central,36,60.0
omen,dict,rw,central,37,60.0
omen,dict,rw,central,38,59.0
omen,dict,rw,central,39,59.0
omen,dict,rw,central,4,60.0
omen,dict,rw,central,40,60.0
omen,dict,rw,central,41,61.0
omen,dict,rw,central,42,61.0
omen,dict,rw,central,43,60.0
omen,dict,rw,central,44,58.0
omen,dict,rw,central,45,60.0
omen,dict,rw,central,46,61.0
omen,dict,rw,central,47,61.0
omen,dict,rw,central,48,60.0
omen,dict,rw,central,49,62.0
omen,dict,rw,central,5,60.0
omen,dict,rw,central,50,60.0
omen,dict,rw,central,51,60.0
omen,dict,rw,central,52,61.0
omen,dict,rw,central,53,60.0
omen,dict,rw,central,54,60.0
omen,dict,rw,central,55,60.0
omen,dict,rw,central,56,60.0
omen,dict,rw,central,57,61.0
